id,Name,Phone,Link,Address,Pincode,Latitude,Longitude,Type,Visited,Blacklisted
47698,Ideal Ideal Hitech, Private Data,https://housing.com/in/buy/projects/page/219454-ideal-ideal-hitech-by-the-ideal-homes-in-bommasandra, Private Data,,12.80890274,77.67233276,Housing Society,0,0
45965,Ram Sai Residency, Private Data,https://housing.com/in/buy/projects/page/45100-ram-sai-residency-by-sai-ram-builders-in-electronic-city, Private Data,,12.809222,77.678833,Housing Society,0,0
47650,RK RK Township Apartment, Private Data,https://housing.com/in/buy/projects/page/209605-rk-rk-township-apartment-by-rk-developers-in-bommasandra, Private Data,,12.80924511,77.66925049,Housing Society,0,0
47701,2 BHK Villa, Private Data,https://housing.com/in/buy/resale/page/5220206-2-bhk-villa-in-bommasandra-for-rs-5000000, Private Data,,12.809516,77.702597,Housing Society,0,0
47643,2 BHK Independent House, Private Data,https://housing.com/in/buy/resale/page/4919732-2-bhk-independent-house-in-bommasandra-for-rs-9900000, Private Data,,12.809876,77.703338,Housing Society,0,0
45768,1 BHK Independent Floor, Private Data,https://housing.com/in/buy/resale/page/3505971-1-bhk-independent-floor-in-bommasandra-for-rs-59000000, Private Data,,12.809932,77.679444,Housing Society,0,0
47700,Anugraha Apartment, Private Data,https://housing.com/in/buy/projects/page/145127-anugraha-apartment-by-reputed-builder-in-bommasandra, Private Data,,12.809947,77.676073,Housing Society,0,0
47693,Residential Plot, Private Data,https://housing.com/in/buy/resale/page/5211372-residential-plot-in-bommasandra-for-rs-3500000, Private Data,,12.810059,77.664142,Housing Society,0,0
45757,Sri Shiva Shakti Complex, Private Data,https://housing.com/in/buy/projects/page/69118-sri-shiva-shakti-complex-by-swaraj-homes-builders-developer-in-bommasandra, Private Data,,12.81015301,77.69084167,Housing Society,0,0
3316,Canara Bank ATM, Private Data,, Private Data,,12.8103469,77.5813634,ATM,0,0
